show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type,url,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
70101696,Defiance,Edward Zwick,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George MacKay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov",United States,27-Nov-19,2008,R,137 min,"Action & Adventure, Dramas","In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81206389,80021840,70254350,80192187,81092778,81044884,80218448,81025908,81111849,80192137
81194544,Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,27-Nov-19,2019,TV-14,134 min,"Comedies, International Movies, Romantic Movies","When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABQcEC7MG6XAoF1kw9RjH23Kig7vzvj79uM-KHw_cx_jJMkvNYifI08UdKlgi578pLI90M6vmXAYljMxX529eJWiFFv63.jpg?r=da0,81018141,80241102,80186848,80189632,80144355,80108481,70118953,80244271,80209013,70275076
81177504,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Canada, Norway",27-Nov-19,2019,TV-MA,106 min,"Dramas, Independent Movies","After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80229417,80160692,81155803,81071666,70025372,70025612,80081277,70178604,80993095,81088700
80175798,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",United States,27-Nov-19,2019,R,209 min,Dramas,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABclozqDKJM1ljO5Lcmravlkh2J_VvKsVdyTKuKg_iZxpGyjIDVu_RF4-02JaMba_mk6w4nuf4lrhInWpKH7_nakm1J3D.jpg?r=189,81145628,80232279,70112730,81031008,20557937,80221787,80202465,81071972,80990811,80997857
81062293,Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,26-Nov-19,2019,TV-MA,86 min,Stand-Up Comedy,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABc0gKu-0DqNuHpOJGIG-n5hQz3BxIXNYq7u34uArbNlPKVyoPvNSw0i2v_dDShO7o-Hq4njOILJU9V_oHKcLI61ZMXQ1.jpg?r=f1d,80184067,81045551,80028357,70229046,80194610,81035398,80994222,70026431,80067906,70068799
80235524,Super Monsters Save Christmas,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,26-Nov-19,2019,TV-Y,24 min,Children & Family Movies,"It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABVa5kFNttndrDCLru7K4sQIbNXQL_ub-yqEP78VgDYs8Xy0oO5agytAuEjHyPXHJB9fbMGozhYbVZMTuW0GHTmriY8Au.jpg?r=3cc,81104406,80172002,80227113,80057918,80167628,80224294,80163533,81044103,80241877,81121181
81215481,Pranaam,Sanjiv Jaiswal,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,25-Nov-19,2019,TV-MA,117 min,"Action & Adventure, Dramas, International Movies","Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABZYriIBVJmcHKOmwy9ox4DPlkWtxGTRktFRf62QFrizNEvQLsTXnTUkwRVJOL9iSqh_cDszFc_AdYzwMzkeyc2rslIM3.jpg?r=595,70150437,80084667,70099118,80209751,80141156,80998786,81034635,70101375,81094082,81016327
81218079,Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,24-Nov-19,2019,TV-MA,92 min,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,506464,80153894,80209722,70118779,80225907,70174741,70265211,81040405,81071972,80105699
60028294,Popeye,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley, Paul L. Smith, Richard Libertini, Donald Moffat, Macintyre Dixon, Roberta Maxwell, Donovan Scott",United States,24-Nov-19,1980,PG,114 min,"Action & Adventure, Children & Family Movies, Comedies","During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80167628,81191473,81092767,70108590,81044608,80150350,70123542,80196657,81025218,81092909
80125671,Shot Caller,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal, Emory Cohen, Jeffrey Donovan, Evan Jones, Benjamin Bratt, Holt McCallany",United States,24-Nov-19,2017,R,121 min,"Dramas, Thrillers","Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABWYYzdRlutUqtU4MQ4v1cVXQZClgrDvjzzbfe6zvDO0_xoiT62EdWCfmYLtbu1NHASH6ZQ0khwhOG57orQ9cwnuodpI7.jpg?r=f69,70100527,60021299,699257,81034741,80227672,81020653,81047899,80125291,81193616,80227574
60020948,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,23-Nov-19,1973,G,94 min,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,60022254,80167628,80196657,81029647,81092909,80215923,80010778,70050576,80105030,80094258
70235384,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,23-Nov-19,2012,R,109 min,Action & Adventure,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABceFQ-vmcF7p_78JhKQNI1VxIXOsz50aUt6P8UClsRGT5FZWWYT83YgS0CzVBM4L7J6AZT04QL4Jy_7VY-hLaKhqCODI.jpg?r=5fb,80211229,80998560,80116921,80241103,80144442,81059444,81045512,80166239,81036530,81209203
569355,Hamburger Hill,John Irvin,"Anthony Barille, Michael Boatman, Don Cheadle, Michael Dolan, Don James, Dylan McDermott, Michael A. Nickles, Harry O'Reilly, Daniel O'Shea, Tim Quill, Tommy Swerdlow, Courtney B. Vance, Steven Weber, Tegan West",United States,23-Nov-19,1987,R,110 min,"Action & Adventure, Dramas",The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81172899,81147274,70254350,81010962,80081705,80174097,81139317,81123826,81206389,81209203
60022645,The Time Machine,Simon Wells,"Guy Pearce, Samantha Mumba, Jeremy Irons, Mark Addy, Sienna Guillory, Phyllida Law, Alan Young, Omero Mumba, Yancey Arias, Orlando Jones","United States, United Arab Emirates",23-Nov-19,2002,PG-13,96 min,"Action & Adventure, Sci-Fi & Fantasy","Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81096745,81142595,81132439,81000389,80206910,81154900,80184771,70292992,81121185,80177346
80198859,Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,22-Nov-19,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABa7X0baJBVod8lXznQQCKifHVoYvxpdPruLhkjomdLec8Rtqd-vStrFBozlkWm-a_Rgl3NO3Qi7lt5FfAcw6wQuSUNwe.jpg?r=947,81077451,81001804,80993095,80094258,80142390,80212481,70060865,81018183,70218312,80141270
80159876,Girls und Panzer der Film,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka",Japan,22-Nov-19,2015,TV-14,121 min,"Action & Adventure, Anime Features, International Movies",The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81010818,80091341,70140358,81024712,80032476,70266679,70045356,81047510,80244271,80104130
81218074,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,22-Nov-19,2019,TV-14,119 min,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80148162,80227186,80191047,80136311,80135353,80182919,70112731,80177782,70117577,80223052
60023606,K-19: The Widowmaker,Kathryn Bigelow,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",21-Nov-19,2002,PG-13,138 min,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,70215455,81186758,81026475,81053892,81043541,81167065,80220085,80197303,80118092,60031284
81026188,The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,21-Nov-19,2019,TV-14,93 min,"Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABWsuiNtrNTHSxhne2DNrcsWQidLiWjZMHlNj6_M3VqAQoVk_dzzzwWAb5OnnvGcqZ-Qus4-OHOB30hz_zhzurPJLOO-5.jpg?r=afd,80211634,80242950,80167628,80207371,80206696,80202352,80222157,81036524,81098586,81084225
70267398,Adore,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France",20-Nov-19,2013,R,111 min,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81155803,80211380,80993095,81025404,81017724,80117736,70118953,70123120,70074299,80244708
80108983,Be Somebody,Joshua Caldwell,"Matthew Espinosa, Sarah Jeffery, Allison Paige, Tava Smiley, Caitlin Keats, LaMonica Garrett, Mahaley Patel, Mason McCulley, Liana Ramirez",United States,20-Nov-19,2016,PG,88 min,"Comedies, Dramas, Romantic Movies","To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80992039,80239462,70121502,80227777,80179900,80211634,70108777,70202141,81045891,80216677
292118,Beavis and Butt-head Do America,Mike Judge,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",United States,20-Nov-19,1996,PG-13,81 min,"Comedies, Cult Movies","After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81156627,80108234,510854,80214706,81034600,80176234,81070008,70084791,80157890,70292939
70003046,Bebe's Kids,Bruce W. Smith,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",United States,20-Nov-19,1992,PG-13,73 min,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80189997,81073764,80016588,80208295,81023023,70043308,70267834,80209609,80241474,80213025
80221584,"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,20-Nov-19,2019,TV-MA,86 min,Documentaries,This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABYKWcud8RQUAjMEIcEZ6haUj5eW_lOjNfAW-16YvYinwIgiJ4DyPU0cCkcDRPB4naJOnUL_E5qGsNVTCZSMvGIlsywpu.jpg?r=395,81039383,80135353,80210887,81002281,80182919,80087354,80217066,81038022,80227959,80996790
70053833,Black Snake Moan,Craig Brewer,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",United States,20-Nov-19,2007,R,116 min,"Dramas, Independent Movies","Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80244855,80993062,80141156,81016592,80993095,81098589,80205594,70087541,81032812,81052275
70122722,Carriers,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,20-Nov-19,2009,PG-13,85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80223153,80245356,80013772,81113888,70236016,923574,81024717,81113890,80240715,80141782
81217738,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,20-Nov-19,2019,TV-14,134 min,"Dramas, International Movies, Romantic Movies",A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABTx8YIo1Qt4V_JGtGEGLKlyXOG8TOiLk5ORxm8v7L-FIECnXEFe_Io0rzSdH8Rg6-PYpcCBLeA8xo7ecj_ZDm12BuSsL.jpg?r=536,81020692,80997867,70099119,81025404,70082255,80999986,81035845,70243445,80024232,81071666
80081990,Dream/Killer,Andrew Jenks,"Bill Ferguson, Ryan Ferguson",United States,20-Nov-19,2015,TV-MA,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81041414,80087354,80167481,80185266,81004162,80013547,70299270,70075775,80230423,81025361
60004471,Evolution,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd",United States,20-Nov-19,2001,PG-13,102 min,"Comedies, Sci-Fi & Fantasy","After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,1178866,81151878,81192594,81036338,81034612,382650,916061,80223153,81038046,80226619
60022413,Eye for an Eye,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard, Joe Mantegna, Olivia Burnette, Alexandra Kyle, Keith David, Philip Baker Hall",United States,20-Nov-19,1996,R,101 min,"Dramas, Thrillers",Grieving mother Karen McCann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality.,Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80207447,80233104,80073823,81100120,70043149,80116762,80209722,70242568,81029383,80090370
70058022,Hot Rod,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny McBride, Isla Fisher, Sissy Spacek, Ian McShane, Will Arnett, Chris Parnell, Chester Tam",United States,20-Nov-19,2007,PG-13,88 min,"Comedies, Sports Movies",Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.,Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81031306,80191990,80114855,70040077,80221308,81172905,81015153,60027716,81032872,81035279
60022502,It Takes Two,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco, Jane Sibbett",United States,20-Nov-19,1995,PG,101 min,"Children & Family Movies, Comedies","The Olsen twins put a cute new spin on Mark Twain's classic tale ""The Prince and the Pauper,"" playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,81179844,80133153,80167628,80150350,70305955,60010836,60022254,80215923,80092801,80105030
